Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20000313,-0.011369,0.015337,-999,-0.01464,0.010133,-0.015152,-0.014644,-0.015962,-999,0.003054,-0.007299,-0.008135
20000314,-0.014205,-0.017372,-999,0.012571,-0.003858,-0.005538,-0.022824,-0.005677,-999,-0.006699,0.002828,0.001893
20000315,0.02333,0.059954,-999,-0.004515,0.061193,0.040223,-0.017382,0.063622,-999,0.005518,0.005076,0.060453
20000316,0.046714,0.063089,-999,0.043084,0.085401,0.055919,0.034826,0.055215,-999,0.047561,0.051627,0.074822
20000317,0.006591,-0.037188,-999,-0.030343,0.000959,-0.003,0.023504,-0.015717,-999,-0.000233,0.001067,0.001387
20000320,-0.001063,0.012074,-999,-0.015748,-0.018881,0.005663,-0.004175,-0.008889,-999,-0.004106,0.01919,-0.009397
20000321,0.016393,0.01193,-999,0.032,0.036426,0.021396,0.026205,0.018685,-999,-0.006478,0.006276,0.011161
20000322,0.006075,-0.025659,-999,-0.007752,0.008621,-0.00441,0.017365,-0.00807,-999,-0.023118,0.025468,-0.004415
20000323,0.016032,0.030605,-999,-0.001116,0.034845,0.023256,0.019076,-0.008136,-999,0.01699,0.004055,0.002772
20000324,0.006967,-0.004834,-999,0.002235,0.011436,0.005952,0.008621,-0.017897,-999,-0.009547,0.008582,0.003317
20000327,-0.010582,-0.004164,-999,0.003344,-0.032663,-0.012372,0.008059,-0.012908,-999,0.013855,-0.007007,-0.002755
20000328,-0.005759,-0.018815,-999,-0.004444,0.007792,-0.002723,-0.024225,0.011538,-999,-0.004753,0.001008,0.003315
20000329,0.001034,0.020597,-999,0.052455,-0.007732,0.012561,-0.029295,0.024335,-999,0.01791,-0.015106,0.019824
20000330,-0.016739,0.02714,-999,0,0.001948,0.006472,-0.02711,0.013363,-999,-0.002346,-0.014315,0.022138
20000331,0.011349,-0.000678,-999,-0.005302,0.006481,0.001608,0.018927,-0.005128,-999,0.005879,0.018154,-0.010565
20000403,0.005819,0.032542,-999,0.017058,0.048294,0.00428,-0.042312,0.045655,-999,0.006429,-0.000509,0.029899
20000404,-0.036364,-0.009192,-999,-0.012579,-0.039926,-0.011188,-0.009698,0.028169,-999,0.013937,-0.011213,-0.012442
